+---+------+
|t  |count |
+---+------+
|0  |10    |
|1  |1673  |
|2  |3358  |
|3  |4963  |
|4  |6613  |
|5  |8317  |
|6  |9937  |
|7  |11632 |
|8  |13272 |
|9  |14879 |
|10 |16409 |
|11 |18058 |
|12 |19653 |
|13 |21259 |
|14 |22884 |
|15 |24448 |
|16 |26066 |
|17 |27721 |
|18 |29277 |
|19 |30829 |
|20 |32407 |
|21 |34015 |
|22 |35666 |
|23 |37229 |
|24 |38769 |
|25 |40288 |
|26 |41820 |
|27 |43403 |
|28 |44932 |
|29 |46428 |
|30 |47944 |
|31 |49450 |
|32 |50962 |
|33 |52472 |
|34 |53957 |
|35 |55430 |
|36 |56851 |
|37 |58248 |
|38 |59767 |
|39 |61205 |
|40 |62652 |
|41 |64110 |
|42 |65594 |
|43 |67052 |
|44 |68458 |
|45 |69921 |
|46 |71351 |
|47 |72794 |
|48 |74226 |
|49 |75581 |
|50 |76998 |
|51 |78401 |
|52 |79868 |
|53 |81327 |
|54 |82775 |
|55 |84180 |
|56 |85643 |
|57 |87043 |
|58 |88380 |
|59 |89790 |
|60 |91150 |
|61 |92434 |
|62 |93796 |
|63 |95148 |
|64 |96482 |
|65 |97911 |
|66 |99253 |
|67 |100565|
|68 |101844|
|69 |103142|
|70 |104455|
|71 |105769|
|72 |107031|
|73 |108279|
|74 |109539|
|75 |110793|
|76 |111982|
|77 |113186|
|78 |114477|
|79 |115729|
|80 |116924|
|81 |118121|
|82 |119375|
|83 |120616|
|84 |121853|
|85 |123068|
|86 |124164|
|87 |125445|
|88 |126593|
|89 |127641|
|90 |128776|
|91 |129979|
|92 |131149|
|93 |132275|
|94 |133508|
|95 |134685|
|96 |135822|
|97 |136865|
|98 |137938|
|99 |139092|
|100|140200|
|101|141208|
|102|142279|
|103|143342|
|104|144545|
|105|145598|
|106|146696|
|107|147766|
|108|148818|
|109|149869|
|110|150827|
|111|151834|
|112|152885|
|113|153951|
|114|154959|
|115|156040|
|116|157043|
|117|158051|
|118|159095|
|119|160093|
|120|161016|
|121|161936|
|122|162884|
|123|163773|
|124|164798|
|125|165729|
|126|166743|
|127|167622|
|128|168529|
|129|169598|
|130|170490|
|131|171395|
|132|172267|
|133|173150|
|134|174093|
|135|174975|
|136|175862|
|137|176753|
|138|177555|
|139|178315|
|140|179107|
|141|179950|
|142|180881|
|143|181740|
|144|182607|
|145|183528|
|146|184373|
|147|185111|
|148|185848|
|149|186598|
|150|187396|
|151|188027|
|152|188780|
|153|189553|
|154|190235|
|155|190989|
|156|191689|
|157|192448|
|158|193217|
|159|194005|
|160|194798|
|161|195584|
|162|196261|
|163|196997|
|164|197748|
|165|198434|
|166|199092|
|167|199713|
|168|200428|
|169|201134|
|170|201744|
|171|202411|
|172|203133|
|173|203804|
|174|204478|
|175|205098|
|176|205725|
|177|206433|
|178|207034|
|179|207616|
|180|208148|
|181|208692|
|182|209284|
|183|209872|
|184|210526|
|185|211093|
|186|211638|
|187|212209|
|188|212758|
|189|213304|
|190|213896|
|191|214481|
|192|215016|
|193|215561|
|194|216039|
|195|216467|
|196|217041|
|197|217623|
|198|218130|
|199|218680|
+---+------+
