1,56.0,107.0,0
2,75.0,80.0,0
3,92.0,100.0,0
4,99.0,74.0,0
5,42.0,74.0,0
6,34.0,102.0,0
7,20.0,59.0,0
8,29.0,82.0,0
9,51.0,43.0,0
10,29.0,18.0,0
11,61.0,59.0,0
12,100.0,42.0,0
13,61.0,30.0,0
14,84.0,24.0,0
15,56.0,13.0,0
1,57.0,105.0,1
2,74.0,78.0,1
3,89.0,99.0,1
4,96.0,72.0,1
5,43.0,71.0,1
6,36.0,100.0,1
7,23.0,58.0,1
8,31.0,84.0,1
9,54.0,44.0,1
10,30.0,21.0,1
11,59.0,61.0,1
12,97.0,43.0,1
13,60.0,32.0,1
14,86.0,27.0,1
15,58.0,16.0,1
1,59.0,103.0,2
2,73.0,75.0,2
3,86.0,96.0,2
4,93.0,70.0,2
5,45.0,68.0,2
6,39.0,99.0,2
7,26.0,59.0,2
8,34.0,84.0,2
9,57.0,46.0,2
10,31.0,24.0,2
11,60.0,63.0,2
12,94.0,43.0,2
13,58.0,34.0,2
14,85.0,30.0,2
15,59.0,19.0,2
1,61.0,101.0,3
2,72.0,72.0,3
3,83.0,95.0,3
4,92.0,67.0,3
5,45.0,64.0,3
6,42.0,98.0,3
7,29.0,61.0,3
8,37.0,82.0,3
9,59.0,49.0,3
10,32.0,27.0,3
11,63.0,62.0,3
12,91.0,45.0,3
13,56.0,35.0,3
14,83.0,32.0,3
15,60.0,22.0,3
1,63.0,99.0,4
2,71.0,70.0,4
3,81.0,93.0,4
4,90.0,64.0,4
5,45.0,61.0,4
6,45.0,97.0,4
7,32.0,63.0,4
8,40.0,82.0,4
9,61.0,52.0,4
10,33.0,30.0,4
11,64.0,59.0,4
12,89.0,47.0,4
13,54.0,36.0,4
14,81.0,35.0,4
15,62.0,24.0,4
1,64.0,97.0,5
2,70.0,68.0,5
3,79.0,91.0,5
4,88.0,61.0,5
5,46.0,58.0,5
6,48.0,96.0,5
7,34.0,65.0,5
8,43.0,83.0,5
9,64.0,53.0,5
10,34.0,33.0,5
11,66.0,57.0,5
12,88.0,49.0,5
13,52.0,37.0,5
14,80.0,37.0,5
15,64.0,26.0,5
