9523304	1981841.268	561896.963	320	3	4
11086164	1981840.937	561916.597	320	3	4
13452730	1981840.346	561897.519	320	3	4
84525	1981843.486	561898.068	320	3	4
10660076	1981947.861	561924.707	320	3	14
13390891	1981948.977	561928.477	320	3	15
13948270	1981948.145	561928.256	320	3	15
8310852	1981944.716	561921.497	320	3	15
10707331	1981945.548	561921.828	320	3	15
16501739	1981956.944	561942.659	320	3	4
11940169	1981947.308	561925.152	320	3	15
5806978	1981941.652	561912.629	320	3	30
3691446	1981939.605	561904.535	320	3	28
1563667	1981947.538	561901.081	320	3	37
4581947	1981952.058	561898.743	320	3	36
2448892	1981959.618	561893.515	320	3	23
3135298	1981951.965	561898.743	320	3	36
2822638	1981936.464	561902.989	320	3	26
5779727	1981941.099	561912.963	320	3	30
5146326	1981948.09	561900.082	320	3	36
3102670	1981959.065	561893.849	320	3	23
8269903	1981933.968	561901.441	320	3	23
10336483	1981951.779	561898.078	320	3	36
17833388	1981963.977	561903.712	320	3	23
3596703	1981947.26	561900.527	320	3	36
5529001	1981940.821	561912.52	320	3	30
10572873	1981963.505	561898.388	320	3	23
8508372	1981940.917	561914.072	320	3	29
5187057	1981948.362	561897.308	320	3	36
7780005	1981962.952	561898.833	320	3	23
4320142	1981954.639	561896.631	320	3	26
7971175	1981944.253	561920.61	320	3	20
12116000	1981932.573	561896.119	320	3	23
2726094	1981960.264	561893.292	320	3	23
4870517	1981958.419	561894.072	320	3	23
6005822	1981940.633	561910.745	320	3	32
6223077	1981935.264	561903.546	320	3	24
1544417	1981947.077	561901.304	320	3	37
10215595	1981934.518	561899.776	320	3	23
5237963	1981939.619	561911.524	320	3	30
2073396	1981954.731	561896.631	320	3	26
650789	1981948.278	561901.413	320	3	37
14450304	1981948.358	561895.201	320	3	35
6496615	1981941.285	561913.406	320	3	30
6959469	1981965.07	561896.167	320	3	23
8799311	1981965.624	561896.387	320	3	23
8132378	1981965.346	561895.612	320	3	23
10115235	1981966.365	561897.384	320	3	23
