0	6 8 9 10 11
0	5 6 8 9 10
0	5 6 8 9 10 11
0	6 7 8 9 10 11
0	5 6 7 8 9 10 11
0	5 6 7 8 9 10
0	5 6 7 8 9
0	6 7 8 9 10
0	9 10 11 12 13
0	10 11 12 13 14
0	8 9 10 11 12
0	9 10 11 12 13 14
0	7 8 9 10 11 12
0	7 8 9 11 12
0	7 8 9 10 12
1	6 8 9 10 11
1	5 6 8 9 10
1	5 6 8 9 10 11
1	6 7 8 9 10 11
1	5 6 7 8 9 10 11
1	5 6 7 8 9 10
1	5 6 7 8 9
1	6 7 8 9 10
1	9 10 11 12 13
1	10 11 12 13 14
1	8 9 10 11 12
1	9 10 11 12 13 14
1	7 8 9 10 11 12
1	7 8 9 11 12
1	7 8 9 10 12
2	6 8 9 10 11
2	5 6 8 9 10
2	5 6 8 9 10 11
2	6 7 8 9 10 11
2	5 6 7 8 9 10 11
2	5 6 7 8 9 10
2	5 6 7 8 9
2	6 7 8 9 10
2	9 10 11 12 13
2	10 11 12 13 14
2	8 9 10 11 12
2	9 10 11 12 13 14
2	7 8 9 10 11 12
2	7 8 9 11 12
2	7 8 9 10 12
