0	3	3512 6337 12427 14404 16044
1	4	3512 6337 12427 14404 16044
2	5	3512 6337 12427 14404 16044
3	6	3512 6337 12427 14404 16044
4	7	3512 6337 12427 14404 16044
4	7	11578 11774 12063 12271 17731
4	7	11774 12063 12271 17465 17731
4	7	11578 11774 12063 12271 17465
5	8	3512 6337 12427 14404 16044
5	8	11578 11774 12063 12271 17465 17731
6	9	3512 6337 12427 14404 16044
6	9	11578 11774 12063 12271 17465 17731
7	10	621 6904 9873 16340 18496
7	10	3512 6337 12427 14404 16044
7	10	11578 11774 12063 12271 17465 17731
